# gunzip -c exp_FG/DNN_tri_8_2000_aligned_layer3_nodes256/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp_FG/tri_8_2000/graph 
# Started at Fri Mar 30 11:11:56 CST 2018
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 11.1111111111% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 14.1975308642% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 88.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,14.8,58) frames.
At utterance begin, y_B accounts for 58.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.8,19) frames.
At utterance begin, g_B accounts for 12.3% of phone occurrences, with duration (median, mean, 95-percentile) is (34,41.4,81) frames.
At utterance begin, sil accounts for 11.1% of phone occurrences, with duration (median, mean, 95-percentile) is (22,23.2,31) frames.
At utterance begin, d_B accounts for 11.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance begin, k_B accounts for 7.4% of phone occurrences, with duration (median, mean, 95-percentile) is (58,58.0,58) frames.
At utterance end, nonsilence accounts for 85.8% of phone occurrences, with duration (median, mean, 95-percentile) is (34,35.7,78) frames.
At utterance end, ang2_E accounts for 51.9% of phone occurrences, with duration (median, mean, 95-percentile) is (21,25.4,62) frames.
At utterance end, sil accounts for 14.2% of phone occurrences, with duration (median, mean, 95-percentile) is (13,12.0,19) frames.
At utterance end, en2_E accounts for 11.1% of phone occurrences, with duration (median, mean, 95-percentile) is (42,51.8,78) frames.
At utterance end, eng1_E accounts for 8.0% of phone occurrences, with duration (median, mean, 95-percentile) is (34,42.8,49) frames.
At utterance end, eng4_E accounts for 7.4% of phone occurrences, with duration (median, mean, 95-percentile) is (57,69.4,87) frames.
At utterance end, ian2_E accounts for 7.4% of phone occurrences, with duration (median, mean, 95-percentile) is (39,42.5,46) frames.
Overall, nonsilence accounts for 95.9% of phone occurrences, with duration (median, mean, 95-percentile) is (14,17.3,44) frames.
Overall, y_B accounts for 6.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.1,17) frames.
Overall, t_I accounts for 4.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,10) frames.
Overall, sil accounts for 4.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.9,22) frames.
Overall, q_I accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.5,14) frames.
Overall, ao4_E accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (43,46.4,92) frames.
Overall, ai3_E accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (18,19.4,28) frames.
Overall, ang2_E accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (21,23.9,62) frames.
Overall, h_B accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (21,20.7,34) frames.
Overall, ia1_I accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.3,16) frames.
Overall, iang1_E accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (25,23.3,44) frames.
Overall, iao2_E accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (18,17.8,22) frames.
Overall, in2_I accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (15,23.5,41) frames.
Overall, iu2_I accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (22,22.4,25) frames.
Overall, j_B accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.5,25) frames.
Overall, n_B accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.1,13) frames.
Overall, n_I accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,11) frames.
