# gunzip -c exp_FG/mono/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp_FG/mono/graph 
# Started at Fri Mar 30 11:01:43 CST 2018
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 11.1111111111% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 9.87654320988% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 88.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,18.8,79) frames.
At utterance begin, y_B accounts for 59.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.7,11) frames.
At utterance begin, g_B accounts for 14.8% of phone occurrences, with duration (median, mean, 95-percentile) is (34,44.6,82) frames.
At utterance begin, sil accounts for 11.1% of phone occurrences, with duration (median, mean, 95-percentile) is (17,17.6,27) frames.
At utterance begin, k_B accounts for 11.1% of phone occurrences, with duration (median, mean, 95-percentile) is (58,64.9,79) frames.
At utterance begin, d_B accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance end, nonsilence accounts for 90.1% of phone occurrences, with duration (median, mean, 95-percentile) is (35,34.3,61) frames.
At utterance end, ang2_E accounts for 51.9% of phone occurrences, with duration (median, mean, 95-percentile) is (22,25.2,61) frames.
At utterance end, sil accounts for 9.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.2,12) frames.
At utterance end, eng1_E accounts for 8.6% of phone occurrences, with duration (median, mean, 95-percentile) is (37,45.4,57) frames.
At utterance end, ao4_E accounts for 7.4% of phone occurrences, with duration (median, mean, 95-percentile) is (57,62.6,68) frames.
At utterance end, en2_E accounts for 7.4% of phone occurrences, with duration (median, mean, 95-percentile) is (37,41.1,45) frames.
At utterance end, eng4_E accounts for 7.4% of phone occurrences, with duration (median, mean, 95-percentile) is (29,40.0,51) frames.
At utterance end, ian2_E accounts for 7.4% of phone occurrences, with duration (median, mean, 95-percentile) is (40,44.5,49) frames.
Overall, nonsilence accounts for 94.9% of phone occurrences, with duration (median, mean, 95-percentile) is (13,17.1,48) frames.
Overall, y_B accounts for 7.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.9,13) frames.
Overall, sil accounts for 5.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.2,27) frames.
Overall, t_I accounts for 4.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.8,11) frames.
Overall, ao4_E accounts for 4.3% of phone occurrences, with duration (median, mean, 95-percentile) is (42,45.5,72) frames.
Overall, q_I accounts for 4.1% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.4,15) frames.
Overall, ai3_E accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (18,19.4,30) frames.
Overall, ang2_E accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (22,24.1,61) frames.
Overall, h_B accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (21,20.7,34) frames.
Overall, ia1_I accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (12,11.5,17) frames.
Overall, iang1_E accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (25,23.5,44) frames.
Overall, iao2_E accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (17,17.4,23) frames.
Overall, in2_I accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (15,23.5,41) frames.
Overall, iu2_I accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (22,22.5,26) frames.
Overall, j_B accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.0,23) frames.
Overall, n_B accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.4,13) frames.
Overall, n_I accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,12) frames.
Overall, x_B accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.2,15) frames.
Overall, ao3_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.1,16) frames.
Overall, d_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,10.5,22) frames.
Overall, sh_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.1,10) frames.
Overall, b_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,12.4,23) frames.
Overall, ao2_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.2,12) frames.
Overall, e2_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (30,31.5,39) frames.
Overall, eng1_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,22.9,57) frames.
Overall, g_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,31.0,82) frames.
Overall, uan1_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,17.7,49) frames.
Overall, yi1_S accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (4,8.0,26) frames.
Overall, ai1_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (12,17.1,28) frames.
Overall, eng4_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (29,34.8,51) frames.
Overall, i3_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (21,20.3,30) frames.
Overall, k_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (58,49.5,79) frames.
Overall, uo1_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.5,18) frames.
Overall, wu3_S accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.1,5) frames.
Overall, a2_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (16,18.3,33) frames.
Overall, b_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.7,22) frames.
Overall, d_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (18,18.7,21) frames.
Overall, ei1_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (16,15.7,18) frames.
Overall, en2_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (37,30.2,45) frames.
Overall, f_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,21.3,38) frames.
Overall, g_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.7,6) frames.
Overall, i4_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (17,21.7,33) frames.
Overall, iao4_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (20,20.0,25) frames.
Overall, m_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.7,15) frames.
Overall, ong2_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.5,25) frames.
Overall, sh_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (17,15.3,17) frames.
Overall, u3_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (21,21.7,23) frames.
Overall, u4_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.1,7) frames.
Overall, ua1_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (21,22.0,25) frames.
Overall, z_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (15,19.2,35) frames.
The optional-silence phone sil occupies 3.1% of frames overall 
Limiting the stats to the 82.3% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 2.6% of frames.
Assuming 100 frames per second, the alignments represent 0.1 hours of data, or 0.1 hours if sil frames are excluded.
