sil nonword
sil_B begin
sil_E end
sil_I internal
sil_S singleton
a2_B begin
a2_E end
a2_I internal
a2_S singleton
a3_B begin
a3_E end
a3_I internal
a3_S singleton
ai1_B begin
ai1_E end
ai1_I internal
ai1_S singleton
ai3_B begin
ai3_E end
ai3_I internal
ai3_S singleton
an1_B begin
an1_E end
an1_I internal
an1_S singleton
ang2_B begin
ang2_E end
ang2_I internal
ang2_S singleton
ao2_B begin
ao2_E end
ao2_I internal
ao2_S singleton
ao3_B begin
ao3_E end
ao3_I internal
ao3_S singleton
ao4_B begin
ao4_E end
ao4_I internal
ao4_S singleton
b_B begin
b_E end
b_I internal
b_S singleton
ch_B begin
ch_E end
ch_I internal
ch_S singleton
d_B begin
d_E end
d_I internal
d_S singleton
e2_B begin
e2_E end
e2_I internal
e2_S singleton
ei1_B begin
ei1_E end
ei1_I internal
ei1_S singleton
en2_B begin
en2_E end
en2_I internal
en2_S singleton
eng1_B begin
eng1_E end
eng1_I internal
eng1_S singleton
eng4_B begin
eng4_E end
eng4_I internal
eng4_S singleton
er4_B begin
er4_E end
er4_I internal
er4_S singleton
f_B begin
f_E end
f_I internal
f_S singleton
g_B begin
g_E end
g_I internal
g_S singleton
h_B begin
h_E end
h_I internal
h_S singleton
i3_B begin
i3_E end
i3_I internal
i3_S singleton
i4_B begin
i4_E end
i4_I internal
i4_S singleton
ia1_B begin
ia1_E end
ia1_I internal
ia1_S singleton
ian2_B begin
ian2_E end
ian2_I internal
ian2_S singleton
iang1_B begin
iang1_E end
iang1_I internal
iang1_S singleton
iao4_B begin
iao4_E end
iao4_I internal
iao4_S singleton
iao2_B begin
iao2_E end
iao2_I internal
iao2_S singleton
in2_B begin
in2_E end
in2_I internal
in2_S singleton
iu2_B begin
iu2_E end
iu2_I internal
iu2_S singleton
j_B begin
j_E end
j_I internal
j_S singleton
k_B begin
k_E end
k_I internal
k_S singleton
l_B begin
l_E end
l_I internal
l_S singleton
m_B begin
m_E end
m_I internal
m_S singleton
n_B begin
n_E end
n_I internal
n_S singleton
ong2_B begin
ong2_E end
ong2_I internal
ong2_S singleton
q_B begin
q_E end
q_I internal
q_S singleton
s_B begin
s_E end
s_I internal
s_S singleton
sh_B begin
sh_E end
sh_I internal
sh_S singleton
si4_B begin
si4_E end
si4_I internal
si4_S singleton
t_B begin
t_E end
t_I internal
t_S singleton
u3_B begin
u3_E end
u3_I internal
u3_S singleton
u4_B begin
u4_E end
u4_I internal
u4_S singleton
ua1_B begin
ua1_E end
ua1_I internal
ua1_S singleton
uan1_B begin
uan1_E end
uan1_I internal
uan1_S singleton
uang1_B begin
uang1_E end
uang1_I internal
uang1_S singleton
uo1_B begin
uo1_E end
uo1_I internal
uo1_S singleton
wu3_B begin
wu3_E end
wu3_I internal
wu3_S singleton
x_B begin
x_E end
x_I internal
x_S singleton
y_B begin
y_E end
y_I internal
y_S singleton
yi1_B begin
yi1_E end
yi1_I internal
yi1_S singleton
z_B begin
z_E end
z_I internal
z_S singleton
