# gunzip -c exp_FG/tri_8_2000/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp_FG/tri_8_2000/graph 
# Started at Fri Mar 30 11:04:26 CST 2018
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 17.9012345679% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 30.8641975309% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 82.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,15.8,59) frames.
At utterance begin, y_B accounts for 61.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,8.3,32) frames.
At utterance begin, sil accounts for 17.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.5,24) frames.
At utterance begin, g_B accounts for 14.2% of phone occurrences, with duration (median, mean, 95-percentile) is (43,54.1,81) frames.
At utterance begin, d_B accounts for 6.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.1,3) frames.
At utterance end, nonsilence accounts for 69.1% of phone occurrences, with duration (median, mean, 95-percentile) is (35,32.0,59) frames.
At utterance end, ang2_E accounts for 48.1% of phone occurrences, with duration (median, mean, 95-percentile) is (24,26.1,61) frames.
At utterance end, sil accounts for 30.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,15.5,42) frames.
At utterance end, eng1_E accounts for 7.4% of phone occurrences, with duration (median, mean, 95-percentile) is (38,46.8,58) frames.
At utterance end, ian2_E accounts for 7.4% of phone occurrences, with duration (median, mean, 95-percentile) is (39,42.9,48) frames.
At utterance end, en2_E accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (45,45.3,46) frames.
At utterance end, eng4_E accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (48,48.5,49) frames.
Overall, nonsilence accounts for 92.5% of phone occurrences, with duration (median, mean, 95-percentile) is (13,16.0,41) frames.
Overall, y_B accounts for 9.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,11.3,33) frames.
Overall, sil accounts for 7.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,11.9,40) frames.
Overall, ao4_E accounts for 5.9% of phone occurrences, with duration (median, mean, 95-percentile) is (16,24.8,66) frames.
Overall, t_I accounts for 4.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,11) frames.
Overall, q_I accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,11.9,16) frames.
Overall, ai3_E accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (16,17.7,28) frames.
Overall, ang2_E accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (22,23.8,61) frames.
Overall, h_B accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (21,20.3,32) frames.
Overall, ia1_I accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.1,20) frames.
Overall, iang1_E accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (25,23.5,44) frames.
Overall, iao2_E accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (17,16.5,23) frames.
Overall, in2_I accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (19,24.7,44) frames.
Overall, iu2_I accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (23,22.6,28) frames.
Overall, j_B accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.0,21) frames.
Overall, n_B accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,13) frames.
Overall, n_I accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,19) frames.
Overall, x_B accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.8,13) frames.
Overall, d_B accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,23) frames.
Overall, b_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,15.6,40) frames.
Overall, ao3_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (14,13.8,15) frames.
Overall, uo1_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (16,15.8,18) frames.
Overall, wu3_S accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.7,6) frames.
Overall, u4_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.8,8) frames.
Overall, ao2_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.5,10) frames.
Overall, e2_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (30,31.4,40) frames.
Overall, g_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (35,38.6,81) frames.
Overall, uan1_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.8,13) frames.
Overall, er4_S accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (13,10.1,15) frames.
Overall, eng1_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,21.6,58) frames.
Overall, sh_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.0,10) frames.
Overall, an1_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
Overall, s_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.3,5) frames.
Overall, a3_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (68,63.9,95) frames.
Overall, ai1_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (16,27.3,63) frames.
Overall, ai1_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.7,14) frames.
Overall, d_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (18,18.8,21) frames.
Overall, ei1_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (15,15.7,19) frames.
Overall, eng4_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,21.8,49) frames.
Overall, g_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.0,5) frames.
Overall, i3_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (27,23.0,30) frames.
Overall, iao4_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (17,15.8,24) frames.
Overall, k_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (24,25.7,44) frames.
Overall, k_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.0,14) frames.
Overall, ong2_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,15.7,25) frames.
Overall, sh_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.3,15) frames.
Overall, u3_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (22,22.0,23) frames.
Overall, ua1_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (25,24.7,26) frames.
Overall, z_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (17,19.7,34) frames.
Overall, b_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.5,21) frames.
Overall, i4_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (17,20.6,32) frames.
The optional-silence phone sil occupies 5.7% of frames overall 
